,758-oxalic,758c-135_benzoic,758d-1245_benzoic,731d-original,,,,,,
0.5328,0.0746363463126469,0.036625801943721,0.0325160388744204,0.0375976624531538,,,,,,
0.5568,0.0744457854284444,0.036625801943721,0.0325732071396811,0.0374706218636854,,,,,,
0.5808,0.0753985898494569,0.0364987613542527,0.0326811916407292,0.0374706218636854,,,,,,
0.6048,0.0746363463126469,0.0366829702089818,0.0324080543733723,0.0375976624531538,,,,,,
0.6288,0.0751445086705202,0.0368735310931843,0.0326240233754685,0.0375341421584196,,,,,,
0.6528,0.0748904274915835,0.0367464905037159,0.0325732071396811,0.0377945753668297,,,,,,
0.6768,0.0746363463126469,0.036625801943721,0.0325732071396811,0.0377945753668297,,,,,,
0.7008,0.0751445086705202,0.036625801943721,0.0326240233754685,0.0377945753668297,,,,,,
0.7248,0.0751445086705202,0.0368100107984501,0.032465222638633,0.0378580956615639,,,,,,
0.7488,0.0744457854284444,0.0368735310931843,0.0326811916407292,0.0376611827478879,,,,,,
0.7728,0.0748904274915835,0.0368100107984501,0.0326240233754685,0.0377310550720955,,,,,,
0.7969,0.0746363463126469,0.0368100107984501,0.0327320078765165,0.0377310550720955,,,,,,
0.8209,0.0746363463126469,0.0370005716826526,0.0325160388744204,0.0377945753668297,,,,,,
0.8449,0.0751445086705202,0.0371276122721209,0.0326240233754685,0.0378580956615639,,,,,,
0.8689,0.0744457854284444,0.0370005716826526,0.0326811916407292,0.037921615956298,,,,,,
0.8929,0.0751445086705202,0.0369370513879184,0.0328399923775646,0.037921615956298,,,,,,
0.9169,0.0746363463126469,0.0368735310931843,0.0326240233754685,0.0379914882805056,,,,,,
0.9409,0.0746363463126469,0.0370005716826526,0.0326811916407292,0.037921615956298,,,,,,
0.9649,0.0751445086705202,0.0370005716826526,0.0326240233754685,0.037921615956298,,,,,,
0.9889,0.0741917042495077,0.0369370513879184,0.0328399923775646,0.037921615956298,,,,,,
1.013,0.0751445086705202,0.0368100107984501,0.0327320078765165,0.037921615956298,,,,,,
1.037,0.0744457854284444,0.0369370513879184,0.0326811916407292,0.0379914882805056,,,,,,
1.061,0.0751445086705202,0.0372546528615893,0.0325732071396811,0.0380550085752398,,,,,,
1.085,0.0744457854284444,0.0372546528615893,0.0328399923775646,0.038118528869974,,,,,,
1.109,0.0741917042495077,0.0371276122721209,0.0327320078765165,0.037921615956298,,,,,,
1.133,0.0751445086705202,0.0371276122721209,0.0327891761417773,0.037921615956298,,,,,,
1.157,0.0746363463126469,0.0371911325668551,0.0326240233754685,0.037921615956298,,,,,,
1.181,0.0751445086705202,0.0371911325668551,0.0328399923775646,0.0379914882805056,,,,,,
1.205,0.0741917042495077,0.0370640919773868,0.0328399923775646,0.0380550085752398,,,,,,
1.229,0.0746363463126469,0.0370005716826526,0.0327891761417773,0.038118528869974,,,,,,
1.253,0.0751445086705202,0.0370640919773868,0.0327891761417773,0.0380550085752398,,,,,,
1.277,0.0746363463126469,0.0371276122721209,0.0326811916407292,0.0379914882805056,,,,,,
1.301,0.0751445086705202,0.0373181731563234,0.0327891761417773,0.0379914882805056,,,,,,
1.325,0.0744457854284444,0.0372546528615893,0.0328971606428254,0.037921615956298,,,,,,
1.349,0.0751445086705202,0.0371911325668551,0.0326811916407292,0.0379914882805056,,,,,,
1.373,0.0746363463126469,0.0373816934510576,0.0327320078765165,0.0381884011941815,,,,,,
1.397,0.0746363463126469,0.0373816934510576,0.0327320078765165,0.038118528869974,,,,,,
1.421,0.0748904274915835,0.0371911325668551,0.0329479768786127,0.0381884011941815,,,,,,
1.445,0.0746363463126469,0.0371276122721209,0.0328399923775646,0.0381884011941815,,,,,,
1.469,0.0751445086705202,0.0371276122721209,0.0328399923775646,0.0380550085752398,,,,,,
1.493,0.0748904274915835,0.0373181731563234,0.0326240233754685,0.038118528869974,,,,,,
1.517,0.0748904274915835,0.0373816934510576,0.0329479768786127,0.038118528869974,,,,,,
1.541,0.0748904274915835,0.0372546528615893,0.0328399923775646,0.038118528869974,,,,,,
1.565,0.0748904274915835,0.0372546528615893,0.0328971606428254,0.0381884011941815,,,,,,
1.589,0.0751445086705202,0.0373816934510576,0.0326811916407292,0.0383217938131233,,,,,,
1.613,0.0744457854284444,0.0373181731563234,0.0327891761417773,0.0383217938131233,,,,,,
1.637,0.0751445086705202,0.0372546528615893,0.0328399923775646,0.0383217938131233,,,,,,
1.661,0.0744457854284444,0.0371276122721209,0.0329479768786127,0.0383217938131233,,,,,,
1.685,0.0748904274915835,0.0371911325668551,0.0326811916407292,0.0382519214889157,,,,,,
1.709,0.0751445086705202,0.0373816934510576,0.0327891761417773,0.0382519214889157,,,,,,
1.733,0.0744457854284444,0.0373181731563234,0.0328399923775646,0.0381884011941815,,,,,,
1.757,0.0751445086705202,0.0372546528615893,0.0330051451438735,0.0381884011941815,,,,,,
1.781,0.0746363463126469,0.0371911325668551,0.0328399923775646,0.0383217938131233,,,,,,
1.805,0.0746363463126469,0.0374452137457918,0.0327891761417773,0.0383853141078575,,,,,,
1.829,0.0751445086705202,0.0375087340405259,0.0327320078765165,0.0382519214889157,,,,,,
1.853,0.0746363463126469,0.0375087340405259,0.0330051451438735,0.0381884011941815,,,,,,
1.877,0.0748904274915835,0.0373816934510576,0.0328971606428254,0.0382519214889157,,,,,,
1.901,0.0746363463126469,0.0375087340405259,0.0328399923775646,0.0383217938131233,,,,,,
