,,,,,,,,,,Derivative Y1,Derivative Y2,Derivative Y3,Derivative Y4,Derivative Y5,Derivative Y6,Derivative Y7,Derivative Y8,Derivative Y9
0.5904,0.9282,0.9886,1.038,1.45,1.862,1.3118,0.7616,0.6399,0.5099,1.22083333333333,1.39999999999999,1.33333333333333,1.10416666666667,0.875000000000005,0.979166666666669,1.08333333333333,0.875,0.754166666666668
0.6024,0.942,1.007,1.059,1.481,1.903,1.337,0.771,0.6494,0.5177,1.16666666666667,1.225,1.50000000000001,2.06250000000001,2.625,1.775,0.925000000000004,0.795833333333337,0.545833333333335
0.6144,0.9562,1.018,1.074,1.4995,1.925,1.3544,0.7838,0.659,0.523,0.995833333333339,0.916666666666671,1.16666666666667,2.02083333333334,2.875,1.875,0.875000000000005,0.812500000000006,0.6
0.6264,0.9659,1.029,1.087,1.5295,1.972,1.382,0.792,0.6689,0.5321,1.02916666666666,1.33333333333333,1.08333333333333,1.02083333333333,0.958333333333329,0.893749999999998,0.829166666666663,0.829166666666663,0.720833333333332
0.6384,0.9809,1.05,1.1,1.524,1.948,1.37585,0.8037,0.6789,0.5403,1.16666666666667,1.25,1.29166666666667,1.1875,1.08333333333333,1.03750000000001,0.991666666666663,0.849999999999998,0.616666666666668
0.6504,0.9939,1.059,1.118,1.558,1.998,1.4069,0.8158,0.6893,0.5469,1.3375,1,0.874999999999995,0.937499999999998,1,0.972916666666665,0.945833333333335,0.650000000000002,0.591666666666666
0.6624,1.013,1.074,1.121,1.5465,1.972,1.3992,0.8264,0.6945,0.5545,1.37916666666666,1.45833333333334,0.708333333333329,0.354166666666664,0,0.524999999999997,1.05,0.720833333333332,0.716666666666666
0.6744,1.027,1.094,1.135,1.5665,1.998,1.4195,0.841,0.7066,0.5641,1.04166666666667,1.25,1.04166666666666,1.0625,1.08333333333333,1.07916666666667,1.075,0.904166666666663,0.770833333333331
0.6864,1.038,1.104,1.146,1.572,1.998,1.4251,0.8522,0.7162,0.573,0.833333333333333,0.833333333333333,1.41666666666667,0.708333333333329,0,0.435416666666669,0.870833333333334,0.75,0.541666666666662
0.6984,1.047,1.114,1.169,1.5835,1.998,1.42995,0.8619,0.7246,0.5771,0.874999999999995,1.29166666666666,1.45833333333334,0.72916666666666,0,0.447916666666668,0.895833333333336,0.770833333333336,0.550000000000004
0.7104,1.059,1.135,1.181,1.5895,1.998,1.43585,0.8737,0.7347,0.5862,1.29166666666667,1.20833333333333,1.04166666666666,0.52083333333334,0,0.370833333333329,0.741666666666668,0.787500000000001,0.770833333333336
0.7224,1.078,1.143,1.194,1.596,1.998,1.43885,0.8797,0.7435,0.5956,1.45833333333334,0.791666666666662,1.04166666666666,0.52083333333334,0,0.339583333333328,0.679166666666665,0.804166666666665,0.612499999999997
0.7344,1.094,1.154,1.206,1.602,1.998,1.444,0.89,0.754,0.6009,1.20833333333333,1.41666666666668,1.04166666666668,0.520833333333333,0,0.477083333333334,0.954166666666667,0.883333333333337,0.533333333333337
0.7464,1.107,1.177,1.219,1.6085,1.998,1.4503,0.9026,0.7647,0.6084,1.00000000000001,1.29166666666668,0.916666666666672,0.458333333333331,0,0.487500000000004,0.975000000000003,0.970833333333336,0.725000000000001
0.7584,1.118,1.185,1.228,1.613,1.998,1.4557,0.9134,0.7773,0.6183,0.75,1.20833333333333,0.583333333333333,0.291666666666662,0,0.550000000000004,1.1,0.862499999999997,0.691666666666664
0.7704,1.125,1.206,1.233,1.6155,1.998,1.4635,0.929,0.7854,0.625,0.870179063360877,1.41219008264463,0.952134986225891,0.47606749311295,0,0.562603305785122,1.12520661157025,0.67634297520661,0.560158402203859
0.7825,1.139,1.219,1.251,1.6245,1.998,1.46925,0.9405,0.7936,0.6318,1.03684573002754,0.745523415977962,1.16046831955922,0.580234159779615,0,0.43343663911846,0.866873278236911,0.830509641873278,0.66849173553719
0.7945,1.15,1.224,1.261,1.6295,1.998,1.47395,0.9499,0.8054,0.6411,1.25,1.16666666666667,1.25,0.624999999999995,0,0.447916666666668,0.895833333333331,0.849999999999998,0.733333333333331
0.8065,1.169,1.247,1.281,1.6395,1.998,1.48,0.962,0.814,0.6494,1.45833333333334,1.33333333333333,1.70833333333334,0.854166666666664,0,0.302083333333332,0.604166666666669,0.724999999999998,0.595833333333332
0.8185,1.185,1.256,1.302,1.65,1.998,1.4812,0.9644,0.8228,0.6554,1.04166666666666,0.583333333333324,1.08333333333333,0.541666666666671,0,0.310416666666665,0.620833333333334,0.741666666666668,0.554166666666665
0.8305,1.194,1.261,1.307,1.6525,1.998,1.48745,0.9769,0.8318,0.6627,0.541666666666662,1.04166666666666,0.666666666666667,0.333333333333333,0,0.529166666666663,1.05833333333333,0.679166666666665,0.716666666666666
0.8425,1.198,1.281,1.318,1.658,1.998,1.4939,0.9898,0.8391,0.6726,0.708333333333338,1.45833333333334,1.16666666666667,0.583333333333333,0,0.433333333333331,0.866666666666668,0.616666666666668,0.625
0.8545,1.211,1.296,1.335,1.6665,1.998,1.49785,0.9977,0.8466,0.6777,1.08333333333333,0.875000000000005,0.458333333333329,0.229166666666669,0,0.441666666666664,0.883333333333328,0.787500000000001,0.5875
0.8665,1.224,1.302,1.329,1.6635,1.998,1.5045,1.011,0.858,0.6867,1.29166666666667,1.16666666666668,0.250000000000005,0.124999999999998,0,0.506250000000006,1.0125,0.800000000000002,0.700000000000004
0.8785,1.242,1.324,1.341,1.6695,1.998,1.51,1.022,0.8658,0.6945,1.125,1.375,1,0.500000000000002,0,0.541666666666673,1.08333333333334,0.654166666666671,0.604166666666672
0.8905,1.251,1.335,1.353,1.6755,1.998,1.5175,1.037,0.8737,0.7012,1.20833333333333,0.208333333333329,1.25,0.625000000000005,0,0.416666666666667,0.833333333333333,0.833333333333333,0.504166666666666
0.9025,1.271,1.329,1.371,1.6845,1.998,1.52,1.042,0.8858,0.7066,0.833333333333333,0.75,1,0.5,0,0.22916666666666,0.458333333333338,0.849999999999998,0.683333333333331
0.9145,1.271,1.353,1.377,1.6875,1.998,1.523,1.048,0.8941,0.7176,0.416666666666667,1.25,1.375,0.687499999999998,0,0.374999999999995,0.75,0.612499999999997,0.75
0.9265,1.281,1.359,1.404,1.701,1.998,1.529,1.06,0.9005,0.7246,1.04166666666667,0.75,1.66666666666667,0.833333333333333,0,0.395833333333336,0.791666666666662,0.7125,0.533333333333334
0.9385,1.296,1.371,1.417,1.7075,1.998,1.5325,1.067,0.9112,0.7304,1.54166666666667,1.875,1.125,0.562499999999993,0,0.333333333333333,0.666666666666667,0.812500000000002,0.541666666666667
0.9505,1.318,1.404,1.431,1.7145,1.998,1.537,1.076,0.92,0.7376,1.83333333333333,2.74999999999999,1.16666666666667,0.583333333333324,0,0.374999999999995,0.750000000000009,0.733333333333335,0.599999999999998
